"","DATE","WeatherStation","Date","Tmax","Tmin","RHMax","RHMin","ISODate","Year","Month","Day","JDay","Hour","Temp"
"53",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 17:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,17,29.1107746823849
"56",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 18:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,18,27.6191989090084
"59",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 19:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,19,25.7713370619381
"62",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 20:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,20,24.8441072652565
"65",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 21:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,21,25.1875677670233
"68",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 22:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,22,25.411385671225
"71",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 23:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,23,25.5777116189315
"3",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 00:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,0,25.7659333254084
"6",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 01:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,1,25.8806476178222
"9",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 02:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,2,25.9787767104822
"12",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 03:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,3,26.064516093135
"15",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 04:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,4,26.1406465614667
"18",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 05:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,5,26.3970123521837
"21",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 06:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,6,26.9312750975292
"24",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 07:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,7,27.4430888489768
"27",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 08:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,8,27.9186318238011
"30",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 09:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,9,28.3450617494837
"33",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 10:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,10,28.7108626756157
"36",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 11:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,11,29.0061559678159
"39",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 12:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,12,29.2229670851237
"42",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 13:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,13,29.35544093641
"45",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 14:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,14,29.4
"48",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 15:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,15,29.35544093641
"51",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 16:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,16,29.2229670851237
"54",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 17:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,17,29.0061559678159
"57",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 18:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,18,28.7108626756157
"60",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 19:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,19,28.3450617494837
"63",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 20:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,20,26.1
"66",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 21:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,21,26.1
"69",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 22:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,22,26.1
"72",2019-07-10 12:00:00,"KentStandingRock",2019-07-10 23:00:00,29.4,26.1,99,59,2019-07-10,2019,7,10,191,23,26.1
"1100",2019-06-25 12:00:00,"Fieldstone",2019-06-25 00:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,0,17.8
"4100",2019-06-25 12:00:00,"Fieldstone",2019-06-25 01:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,1,17.8
"769",2019-06-25 12:00:00,"Fieldstone",2019-06-25 02:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,2,17.8
"1010",2019-06-25 12:00:00,"Fieldstone",2019-06-25 03:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,3,17.8
"1310",2019-06-25 12:00:00,"Fieldstone",2019-06-25 04:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,4,17.8
"1610",2019-06-25 12:00:00,"Fieldstone",2019-06-25 05:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,5,18.9441858284138
"1910",2019-06-25 12:00:00,"Fieldstone",2019-06-25 06:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,6,20.7213572270083
"2210",2019-06-25 12:00:00,"Fieldstone",2019-06-25 07:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,7,22.4210266128481
"2510",2019-06-25 12:00:00,"Fieldstone",2019-06-25 08:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,8,23.9981026848071
"2810",2019-06-25 12:00:00,"Fieldstone",2019-06-25 09:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,9,25.4107464754649
"3110",2019-06-25 12:00:00,"Fieldstone",2019-06-25 10:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,10,26.621481316077
"3410",2019-06-25 12:00:00,"Fieldstone",2019-06-25 11:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,11,27.5981870721414
"3710",2019-06-25 12:00:00,"Fieldstone",2019-06-25 12:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,12,28.3149522730361
"4010",2019-06-25 12:00:00,"Fieldstone",2019-06-25 13:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,13,28.7527615291921
"4310",2019-06-25 12:00:00,"Fieldstone",2019-06-25 14:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,14,28.9
"4610",2019-06-25 12:00:00,"Fieldstone",2019-06-25 15:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,15,28.7527615291921
